d-block href	col-4	col 4	col 5
https://dmns.app/tlds/windows	windows	Microsoft Corporation	30/04/2015
https://dmns.app/tlds/wine	wine	Binky Moon, LLC	23/07/2015
https://dmns.app/tlds/winners	winners	The TJX Companies, Inc.	07/04/2016
https://dmns.app/tlds/wme	wme	William Morris Endeavor Entertainment, LLC	22/08/2014
https://dmns.app/tlds/wolterskluwer	wolterskluwer	Wolters Kluwer N.V.	05/02/2016
https://dmns.app/tlds/woodside	woodside	Woodside Petroleum Limited	08/01/2016
https://dmns.app/tlds/work	work	Registry Services, LLC	18/08/2014
https://dmns.app/tlds/works	works	Binky Moon, LLC	16/01/2014
https://dmns.app/tlds/world	world	Binky Moon, LLC	11/09/2014
https://dmns.app/tlds/wow	wow	Amazon Registry Services, Inc.	16/09/2016
https://dmns.app/tlds/ws	ws	Government of Samoa Ministry of Foreign Affairs & Trade	14/07/1995
https://dmns.app/tlds/wtc	wtc	World Trade Centers Association, Inc.	17/04/2014
https://dmns.app/tlds/wtf	wtf	Binky Moon, LLC	17/04/2014
https://dmns.app/tlds/xbox	xbox	Microsoft Corporation	30/04/2015
https://dmns.app/tlds/xerox	xerox	Xerox DNHC LLC	02/04/2015
https://dmns.app/tlds/xihuan	xihuan	Beijing Qihu Keji Co., Ltd.	18/03/2016
https://dmns.app/tlds/xin	xin	Elegant Leader Limited	19/02/2015
https://dmns.app/tlds/xxx	xxx	ICM Registry LLC	15/04/2011
https://dmns.app/tlds/yachts	yachts	XYZ.COM LLC	01/05/2014
https://dmns.app/tlds/yahoo	yahoo	Yahoo Inc.	29/01/2016
https://dmns.app/tlds/yamaxun	yamaxun	Amazon Registry Services, Inc.	10/09/2015
https://dmns.app/tlds/yandex	yandex	YANDEX LLC	10/07/2014
https://dmns.app/tlds/ye	ye	TeleYemen	19/08/1996
https://dmns.app/tlds/yodobashi	yodobashi	YODOBASHI CAMERA CO.,LTD.	13/02/2015
https://dmns.app/tlds/yoga	yoga	Registry Services, LLC	15/08/2014
https://dmns.app/tlds/yokohama	yokohama	GMO Registry, Inc.	27/03/2014
https://dmns.app/tlds/you	you	Amazon Registry Services, Inc.	18/03/2016
https://dmns.app/tlds/youtube	youtube	Charleston Road Registry Inc.	23/08/2014
https://dmns.app/tlds/yt	yt	Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)	17/11/1997
https://dmns.app/tlds/yun	yun	Beijing Qihu Keji Co., Ltd.	18/03/2016
https://dmns.app/tlds/za	za	ZA Domain Name Authority	07/11/1990
https://dmns.app/tlds/zappos	zappos	Amazon Registry Services, Inc.	19/05/2016
https://dmns.app/tlds/zara	zara	Industria de Diseño Textil, S.A. (INDITEX, S.A.)	10/09/2015
https://dmns.app/tlds/zero	zero	Amazon Registry Services, Inc.	12/11/2015
https://dmns.app/tlds/zip	zip	Charleston Road Registry Inc.	23/08/2014
https://dmns.app/tlds/zm	zm	Zambia Information and Communications Technology Authority (ZICTA)	25/03/1994
https://dmns.app/tlds/zone	zone	Binky Moon, LLC	09/01/2014
https://dmns.app/tlds/zuerich	zuerich	Kanton Zürich (Canton of Zurich)	18/12/2014
https://dmns.app/tlds/zw	zw	Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ)	06/11/1991
https://dmns.app/tlds/%CE%B5%CE%BB	ελ	ICS-FORTH GR	06/05/2015
https://dmns.app/tlds/%CE%B5%CF%85	ευ	EURid vzw	18/07/2019
https://dmns.app/tlds/%D0%B1%D0%B3	бг	Imena.BG AD	05/03/2016
https://dmns.app/tlds/%D0%B1%D0%B5%D0%BB	бел	Belarusian Cloud Technologies LLC	29/09/2014
https://dmns.app/tlds/%D0%B4%D0%B5%D1%82%D0%B8	дети	The Foundation for Network Initiatives “The Smart Internet”	13/02/2014
https://dmns.app/tlds/%D0%B5%D1%8E	ею	EURid vzw	08/12/2015
https://dmns.app/tlds/%D0%BA%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%BA	католик	Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)	16/11/2016
https://dmns.app/tlds/%D0%BA%D0%BE%D0%BC	ком	VeriSign Sarl	02/07/2015
https://dmns.app/tlds/%D0%BC%D0%BA%D0%B4	мкд	Macedonian Academic Research Network Skopje	21/04/2014
https://dmns.app/tlds/%D0%BC%D0%BE%D0%BD	мон	Datacom Co.,Ltd	21/06/2012
https://dmns.app/tlds/%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0	москва	Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)	17/04/2014
https://dmns.app/tlds/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD	онлайн	CORE Association	21/10/2013
https://dmns.app/tlds/%D0%BE%D1%80%D0%B3	орг	Public Interest Registry	27/02/2014
https://dmns.app/tlds/%D1%80%D1%83%D1%81	рус	Rusnames Limited	03/07/2014
https://dmns.app/tlds/%D1%80%D1%84	рф	Coordination Center for TLD RU	12/05/2010
https://dmns.app/tlds/%D1%81%D0%B0%D0%B9%D1%82	сайт	CORE Association	21/10/2013
https://dmns.app/tlds/%D1%81%D1%80%D0%B1	срб	Serbian National Internet Domain Registry (RNIDS)	05/02/2011
https://dmns.app/tlds/%D1%83%D0%BA%D1%80	укр	Ukrainian Network Information Centre (UANIC), Inc.	01/03/2011
https://dmns.app/tlds/%D2%9B%D0%B0%D0%B7	қаз	Association of IT Companies of Kazakhstan	15/09/2011
https://dmns.app/tlds/%D5%B0%D5%A1%D5%B5	հայ	"""Internet Society"" Non-governmental Organization"	26/11/2014
https://dmns.app/tlds/%D7%99%D7%A9%D7%A8%D7%90%D7%9C	ישראל	The Israel Internet Association (RA)	16/06/2020
